PQID,CMT,UNM,CAT
769,4,Philip Kaufmann,M
772,1,Ivan De Marino,M
775,1,Pieter Wuille,M
777,1,Philip Kaufmann,M
789,3,Philip Kaufmann,M
793,1,Philip Kaufmann,M
798,4,Gavin Andresen,M
803,1,Philip Kaufmann,M
806,1,Philip Kaufmann,M
807,7,Ivan De Marino,M
808,1,Philip Kaufmann,M
815,1,Ivan De Marino,M
816,1,Pieter Wuille,M
821,1,Pieter Wuille,M
827,1,Philip Kaufmann,M
828,2,Pieter Wuille,M
830,1,Philip Kaufmann,M
831,1,Philip Kaufmann,M
832,1,Philip Kaufmann,M
834,1,Ivan De Marino,M
837,1,Philip Kaufmann,M
842,1,Pieter Wuille,M
845,1,Philip Kaufmann,M
847,1,Philip Kaufmann,M
849,3,Ivan De Marino,M
850,1,Philip Kaufmann,M
852,1,Philip Kaufmann,M
854,7,Ivan De Marino,M
855,1,Philip Kaufmann,M
865,1,Philip Kaufmann,M
867,1,Philip Kaufmann,M
886,1,Pieter Wuille,M
888,1,Pieter Wuille,M
890,1,Pieter Wuille,M
891,1,Philip Kaufmann,M
894,3,Pieter Wuille,M
907,2,Philip Kaufmann,M
909,1,Philip Kaufmann,M
912,3,Gavin Andresen,M
918,1,Philip Kaufmann,M
919,1,Philip Kaufmann,M
949,1,Philip Kaufmann,M
959,1,Pieter Wuille,M
961,3,execjosh,M
964,4,Gavin Andresen,M
965,1,Pieter Wuille,M
966,2,Pieter Wuille,M
968,1,Gavin Andresen,M
969,1,Pieter Wuille,M
970,1,Pieter Wuille,M
973,1,Gavin Andresen,M
974,1,Philip Kaufmann,M
976,1,Gavin Andresen,M
977,1,Pieter Wuille,M
978,1,Gavin Andresen,M
979,3,Gavin Andresen,M
980,1,Gavin Andresen,M
982,1,Gavin Andresen,M
984,4,Ivan De Marino,M
985,2,Ivan De Marino,M
988,1,Ivan De Marino,M
989,1,Gavin Andresen,M
991,1,Philip Kaufmann,M
999,1,Luke-Jr,M
1000,1,Ivan De Marino,M
1007,1,Pieter Wuille,M
1009,1,Ivan De Marino,M
1010,1,Gavin Andresen,M
1014,1,Gavin Andresen,M
1015,1,Gavin Andresen,M
1016,1,Ivan De Marino,M
1019,2,Luke-Jr,M
1027,1,Gavin Andresen,M
1030,1,Gavin Andresen,M
1032,2,Pieter Wuille,M
1033,1,Ivan De Marino,M
1034,2,Pieter Wuille,M
1035,1,Philip Kaufmann,M
1036,5,Pieter Wuille,M
1037,1,Gavin Andresen,M
1038,2,execjosh,M
1039,2,execjosh,M
1040,1,Pieter Wuille,M
1042,1,Pieter Wuille,M
1044,1,Eric Lombrozo,M
1045,1,Philip Kaufmann,M
1046,2,execjosh,M
1053,1,Philip Kaufmann,M
1054,15,execjosh,M
1056,1,Eric Lombrozo,M
1057,6,Gavin Andresen,M
1058,1,execjosh,M
1060,6,Ivan De Marino,M
1064,6,Gavin Andresen,M
1068,1,Philip Kaufmann,M
1071,1,Philip Kaufmann,M
1075,1,Pieter Wuille,M
1078,1,Eric Lombrozo,M
1084,2,Gavin Andresen,M
1086,1,Philip Kaufmann,M
1088,2,Gavin Andresen,M
1089,1,Ivan De Marino,M
1090,2,Philip Kaufmann,M
1093,1,Philip Kaufmann,M
1094,1,Ivan De Marino,M
1095,1,Philip Kaufmann,M
1100,1,Philip Kaufmann,M
1103,1,Philip Kaufmann,M
1109,1,Ivan De Marino,M
1113,4,Ivan De Marino,M
1114,1,Pieter Wuille,M
1119,2,Ivan De Marino,M
1126,1,Philip Kaufmann,M
1128,5,Ivan De Marino,M
1130,2,Ivan De Marino,M
1132,3,execjosh,M
1133,2,execjosh,M
1136,13,execjosh,M
1138,3,execjosh,M
1140,1,execjosh,M
1145,9,execjosh,M
1150,3,Ivan De Marino,M
1154,1,Ivan De Marino,M
1156,3,Ivan De Marino,M
1160,1,Ivan De Marino,M
1161,4,Ivan De Marino,M
1163,1,Ivan De Marino,M
1165,1,Ivan De Marino,M
1170,11,Ivan De Marino,M
1188,4,Ivan De Marino,M
1189,12,Keegan McAllister,M
1190,2,Ivan De Marino,M
1191,2,Ivan De Marino,M
1193,1,Ivan De Marino,M
1195,28,Ivan De Marino,M
1197,6,Keegan McAllister,M
1199,5,Ivan De Marino,M
1200,1,Keegan McAllister,M
1202,1,Keegan McAllister,M
1204,4,Keegan McAllister,M
1210,2,Ivan De Marino,M
1217,16,Ivan De Marino,M
1224,1,Ivan De Marino,M
1225,1,Keegan McAllister,M
1226,6,Ivan De Marino,M
1227,1,Keegan McAllister,M
1229,1,Keegan McAllister,M
1231,1,Keegan McAllister,M
1236,1,Ivan De Marino,M
1239,1,Keegan McAllister,M
1240,1,Keegan McAllister,M
1243,2,Keegan McAllister,M
1248,2,Ivan De Marino,M
1253,15,Ivan De Marino,M
1257,4,Keegan McAllister,M
1260,15,Keegan McAllister,M
1262,7,Ivan De Marino,M
1264,8,Ivan De Marino,M
1265,1,Ivan De Marino,M
1267,1,Ivan De Marino,M
1274,1,Gavin Andresen,M
1276,1,Keegan McAllister,M
1289,9,Keegan McAllister,M
1290,1,Philip Kaufmann,M
1291,1,Philip Kaufmann,M
1292,1,Pieter Wuille,M
1299,3,Pieter Wuille,M
1300,5,Keegan McAllister,M
1302,22,Winston Chang,M
1303,1,Keegan McAllister,M
1304,1,Gavin Andresen,M
1306,1,Philip Kaufmann,M
1307,1,Keegan McAllister,M
1315,2,Keegan McAllister,M
1317,1,Keegan McAllister,M
1319,1,Keegan McAllister,M
1323,5,Keegan McAllister,M
1327,1,Keegan McAllister,M
1328,2,Keegan McAllister,M
1329,1,Gavin Andresen,M
1333,1,Keegan McAllister,M
1334,1,Pieter Wuille,M
1337,1,Keegan McAllister,M
1339,1,Keegan McAllister,M
1340,4,Keegan McAllister,M
1341,1,Pieter Wuille,M
1342,2,Keegan McAllister,M
1343,2,Keegan McAllister,M
1345,4,Keegan McAllister,M
1346,1,Philip Kaufmann,M
1347,1,Philip Kaufmann,M
1349,1,Philip Kaufmann,M
1362,15,Winston Chang,M
1365,1,Philip Kaufmann,M
1366,2,Philip Kaufmann,M
1370,1,Philip Kaufmann,M
1371,1,Gavin Andresen,M
1374,22,Gavin Andresen,M
1375,8,Winston Chang,M
1383,1,Philip Kaufmann,M
1386,1,Philip Kaufmann,M
1387,1,Pieter Wuille,M
1388,8,Pieter Wuille,M
1391,1,Pieter Wuille,M
1392,1,Philip Kaufmann,M
1396,2,Pieter Wuille,M
1398,1,Philip Kaufmann,M
1400,1,Philip Kaufmann,M
1401,2,Luke-Jr,M
1402,1,Luke-Jr,M
1403,1,Pieter Wuille,M
1405,1,Gavin Andresen,M
1408,1,Philip Kaufmann,M
1410,1,Philip Kaufmann,M
1411,1,Philip Kaufmann,M
1412,1,Philip Kaufmann,M
1416,1,Pieter Wuille,M
1417,1,Luke-Jr,M
1419,1,Philip Kaufmann,M
1420,1,Pieter Wuille,M
1421,1,Pieter Wuille,M
1423,1,Philip Kaufmann,M
1428,1,Philip Kaufmann,M
1430,1,Philip Kaufmann,M
1441,1,Pieter Wuille,M
1443,1,Pieter Wuille,M
1444,1,Pieter Wuille,M
1445,1,Philip Kaufmann,M
1446,1,Philip Kaufmann,M
1448,1,Pieter Wuille,M
1449,1,Pieter Wuille,M
1450,1,Pieter Wuille,M
1454,1,Pieter Wuille,M
1455,2,Pieter Wuille,M
1456,1,Philip Kaufmann,M
1460,1,Philip Kaufmann,M
1463,5,Pieter Wuille,M
1467,1,Philip Kaufmann,M
1468,1,Philip Kaufmann,M
1470,1,Pieter Wuille,M
1471,1,Pieter Wuille,M
1472,30,Pieter Wuille,M
1473,1,Pieter Wuille,M
1475,1,Luke-Jr,M
1476,1,Luke-Jr,M
1483,2,Philip Kaufmann,M
1486,1,Gavin Andresen,M
1488,1,Philip Kaufmann,M
1489,1,Philip Kaufmann,M
1490,1,Pieter Wuille,M
1491,1,Philip Kaufmann,M
1492,1,Philip Kaufmann,M
1493,1,Gavin Andresen,M
1501,1,Philip Kaufmann,M
1504,1,Philip Kaufmann,M
1505,1,Philip Kaufmann,M
1509,1,Philip Kaufmann,M
1511,1,Pieter Wuille,M
1514,1,Pieter Wuille,M
1515,22,Luke-Jr,M
1524,1,Philip Kaufmann,M
1530,1,Philip Kaufmann,M
1531,1,Philip Kaufmann,M
1532,1,Philip Kaufmann,M
1536,1,Gavin Andresen,M
1538,1,Philip Kaufmann,M
1546,1,Gavin Andresen,M
1551,1,Gavin Andresen,M
1552,4,Gavin Andresen,M
1555,1,Luke-Jr,M
1557,1,Philip Kaufmann,M
1563,1,Luke-Jr,M
1564,1,Luke-Jr,M
1565,1,Luke-Jr,M
1566,1,Philip Kaufmann,M
1568,1,Luke-Jr,M
1572,1,Philip Kaufmann,M
1574,1,Philip Kaufmann,M
1575,1,Philip Kaufmann,M
1578,2,Gavin Andresen,M
1581,1,Philip Kaufmann,M
1587,1,Philip Kaufmann,M
1590,3,Luke-Jr,M
1592,1,Luke-Jr,M
1594,1,Philip Kaufmann,M
1595,1,Philip Kaufmann,M
1598,1,Philip Kaufmann,M
1601,1,Philip Kaufmann,M
1604,1,Pieter Wuille,M
1606,2,Gavin Andresen,M
1608,1,Pieter Wuille,M
1615,1,Philip Kaufmann,M
1616,1,Philip Kaufmann,M
1617,1,Luke-Jr,M
1625,1,Pieter Wuille,M
1639,1,Pieter Wuille,M
1640,1,Pieter Wuille,M
1645,1,Gavin Andresen,M
1646,1,Gavin Andresen,M
1647,1,Philip Kaufmann,M
1648,1,Philip Kaufmann,M
1652,1,Philip Kaufmann,M
1653,1,Philip Kaufmann,M
1654,1,Philip Kaufmann,M
1656,1,Philip Kaufmann,M
1658,24,Luke-Jr,M
1666,1,Philip Kaufmann,M
1667,1,Philip Kaufmann,M
1668,3,Luke-Jr,M
1669,1,Philip Kaufmann,M
1670,4,Luke-Jr,M
1671,3,Winston Chang,M
1672,1,Philip Kaufmann,M
1675,2,Philip Kaufmann,M
1679,1,Gavin Andresen,M
1684,1,Philip Kaufmann,M
1685,1,Philip Kaufmann,M
1687,1,Luke-Jr,M
1690,1,Philip Kaufmann,M
1691,1,Philip Kaufmann,M
1694,1,Luke-Jr,M
1695,1,Philip Kaufmann,M
1700,2,Gavin Andresen,M
1708,1,Philip Kaufmann,M
1710,1,Philip Kaufmann,M
1713,1,Philip Kaufmann,M
1714,2,Luke-Jr,M
1716,1,Philip Kaufmann,M
1718,1,Philip Kaufmann,M
1722,1,Philip Kaufmann,M
1723,1,Philip Kaufmann,M
1725,1,Philip Kaufmann,M
1726,1,Pieter Wuille,M
1730,1,Philip Kaufmann,M
91581,32,Scott Clasen @scottclasen,O
91582,29,Scott Clasen @scottclasen,O
91583,32,Scott Clasen @scottclasen,O
91584,1,Scott Clasen @scottclasen,O
91585,3,Scott Clasen @scottclasen,O
91586,8,Scott Clasen @scottclasen,O
91591,4,Derek Williams,O
91592,2,Derek Williams,O
91593,22,Derek Williams,O
91594,8,Derek Williams,O
91595,38,Derek Williams,O
91596,15,Derek Williams,O
91597,3,Derek Williams,O
91598,17,Derek Williams,O
91599,15,Derek Williams,O
91600,2,Derek Williams,O
91601,1,Derek Williams,O
91602,3,Derek Williams,O
91603,21,Derek Williams,O
91604,2,Derek Williams,O
91613,10,Viktor Klang (√),O
91614,6,Viktor Klang (√),O
91615,5,Viktor Klang (√),O
91616,7,Viktor Klang (√),O
91617,5,Viktor Klang (√),O
91618,31,Viktor Klang (√),O
91619,30,Viktor Klang (√),O
91620,17,Viktor Klang (√),O
91621,28,Viktor Klang (√),O
91622,27,Viktor Klang (√),O
91623,29,Viktor Klang (√),O
91624,12,Viktor Klang (√),O
91625,12,Viktor Klang (√),O
91626,106,Viktor Klang (√),O
91627,115,Viktor Klang (√),O
91628,101,Viktor Klang (√),O
91629,59,Viktor Klang (√),O
91630,30,Viktor Klang (√),O
91631,39,Viktor Klang (√),O
91632,27,Viktor Klang (√),O
91633,114,Viktor Klang (√),O
91634,66,Viktor Klang (√),O
91635,105,Viktor Klang (√),O
91636,50,Viktor Klang (√),O
91637,58,Viktor Klang (√),O
91638,41,Viktor Klang (√),O
91639,73,Viktor Klang (√),O
91640,132,Viktor Klang (√),O
91641,102,Viktor Klang (√),O
91642,192,Viktor Klang (√),O
91643,158,Viktor Klang (√),O
91644,140,Viktor Klang (√),O
91645,59,Viktor Klang (√),O
91646,104,Viktor Klang (√),O
91647,191,Viktor Klang (√),O
91648,179,Viktor Klang (√),O
91649,123,Viktor Klang (√),O
91650,88,Viktor Klang (√),O
91651,133,Viktor Klang (√),O
91652,94,Viktor Klang (√),O
91653,97,Viktor Klang (√),O
91654,59,Viktor Klang (√),O
91655,39,Viktor Klang (√),O
91656,18,Viktor Klang (√),O
91657,31,Viktor Klang (√),O
91658,46,Viktor Klang (√),O
91659,31,Viktor Klang (√),O
91660,22,Viktor Klang (√),O
91661,2,Viktor Klang (√),O
91662,4,Viktor Klang (√),O
91679,1,drewhk,O
91680,18,drewhk,O
91681,13,drewhk,O
91682,4,drewhk,O
91683,10,drewhk,O
91684,14,drewhk,O
91685,6,drewhk,O
91686,2,drewhk,O
91687,13,drewhk,O
91688,1,drewhk,O
91696,7,Jonas Bonér,O
91697,42,Jonas Bonér,O
91698,20,Jonas Bonér,O
91699,27,Jonas Bonér,O
91700,16,Jonas Bonér,O
91701,14,Jonas Bonér,O
91702,21,Jonas Bonér,O
91703,1,Jonas Bonér,O
91704,1,Jonas Bonér,O
91705,3,Jonas Bonér,O
91706,1,Jonas Bonér,O
91707,1,Jonas Bonér,O
91708,9,Jonas Bonér,O
91709,7,Jonas Bonér,O
91710,3,Jonas Bonér,O
91711,1,Jonas Bonér,O
91712,1,Jonas Bonér,O
91713,10,Jonas Bonér,O
91714,4,Jonas Bonér,O
91715,22,Jonas Bonér,O
91716,18,Jonas Bonér,O
91717,66,Jonas Bonér,O
91718,42,Jonas Bonér,O
91719,39,Jonas Bonér,O
91720,19,Jonas Bonér,O
91721,40,Jonas Bonér,O
91722,40,Jonas Bonér,O
91723,83,Jonas Bonér,O
91724,21,Jonas Bonér,O
91725,10,Jonas Bonér,O
91726,36,Jonas Bonér,O
91727,60,Jonas Bonér,O
91728,1,Jonas Bonér,O
91729,1,Jonas Bonér,O
91730,1,Jonas Bonér,O
91731,3,Jonas Bonér,O
91732,1,Jonas Bonér,O
91743,8,Peter Vlugter,O
91744,11,Peter Vlugter,O
91745,30,Peter Vlugter,O
91746,3,Peter Vlugter,O
91747,9,Peter Vlugter,O
91748,26,Peter Vlugter,O
91749,3,Peter Vlugter,O
91750,5,Peter Vlugter,O
91751,3,Peter Vlugter,O
91752,33,Peter Vlugter,O
91753,44,Peter Vlugter,O
91754,42,Peter Vlugter,O
91755,9,Peter Vlugter,O
91756,21,Peter Vlugter,O
91757,7,Peter Vlugter,O
91758,22,Peter Vlugter,O
91759,14,Peter Vlugter,O
91760,8,Peter Vlugter,O
91761,39,Peter Vlugter,O
91762,10,Peter Vlugter,O
91763,3,Peter Vlugter,O
91764,13,Peter Vlugter,O
91765,3,Peter Vlugter,O
91766,2,Peter Vlugter,O
91767,3,Peter Vlugter,O
91768,3,Peter Vlugter,O
91769,4,Peter Vlugter,O
91770,2,Peter Vlugter,O
91771,2,Peter Vlugter,O
91811,13,Piotr Gabryanczyk,O
91812,178,Piotr Gabryanczyk,O
91813,10,Piotr Gabryanczyk,O
91814,4,Piotr Gabryanczyk,O
91815,15,Piotr Gabryanczyk,O
91816,5,Piotr Gabryanczyk,O
91847,3,Roland Kuhn,O
91848,15,Roland Kuhn,O
91849,8,Roland Kuhn,O
91850,5,Roland Kuhn,O
91851,15,Roland Kuhn,O
91852,26,Roland Kuhn,O
91853,21,Roland Kuhn,O
91854,9,Roland Kuhn,O
91855,8,Roland Kuhn,O
91856,19,Roland Kuhn,O
91857,39,Roland Kuhn,O
91858,72,Roland Kuhn,O
91859,113,Roland Kuhn,O
91860,55,Roland Kuhn,O
91861,110,Roland Kuhn,O
91862,32,Roland Kuhn,O
91863,46,Roland Kuhn,O
91864,64,Roland Kuhn,O
91865,39,Roland Kuhn,O
91866,37,Roland Kuhn,O
91867,75,Roland Kuhn,O
91868,39,Roland Kuhn,O
91869,28,Roland Kuhn,O
91870,52,Roland Kuhn,O
91871,44,Roland Kuhn,O
91872,115,Roland Kuhn,O
91873,45,Roland Kuhn,O
91874,32,Roland Kuhn,O
91875,55,Roland Kuhn,O
91876,78,Roland Kuhn,O
91877,51,Roland Kuhn,O
91878,40,Roland Kuhn,O
91879,12,Roland Kuhn,O
91880,1,Roland Kuhn,O
91881,1,Roland Kuhn,O
91918,35,Patrik Nordwall,O
91919,107,Patrik Nordwall,O
91920,120,Patrik Nordwall,O
91921,45,Patrik Nordwall,O
91922,100,Patrik Nordwall,O
91923,123,Patrik Nordwall,O
91924,22,Patrik Nordwall,O
91925,87,Patrik Nordwall,O
91926,141,Patrik Nordwall,O
91927,84,Patrik Nordwall,O
91928,46,Patrik Nordwall,O
91929,42,Patrik Nordwall,O
91930,103,Patrik Nordwall,O
91931,94,Patrik Nordwall,O
91932,56,Patrik Nordwall,O
91933,92,Patrik Nordwall,O
91934,111,Patrik Nordwall,O
91935,24,Patrik Nordwall,O
91936,29,Patrik Nordwall,O
91937,57,Patrik Nordwall,O
91938,53,Patrik Nordwall,O
91939,1,Björn Antonsson,O
91940,1,Björn Antonsson,O
91941,24,Björn Antonsson,O
91942,33,Björn Antonsson,O
91943,3,Björn Antonsson,O
91944,36,Björn Antonsson,O
91945,38,Björn Antonsson,O
91946,24,Björn Antonsson,O
91947,27,Björn Antonsson,O
91948,13,Björn Antonsson,O
91949,17,Björn Antonsson,O
91950,55,Björn Antonsson,O
91951,48,Björn Antonsson,O
91952,35,Björn Antonsson,O
91953,48,Björn Antonsson,O
91954,13,Björn Antonsson,O
91955,19,Björn Antonsson,O
91956,21,Björn Antonsson,O
91957,23,Endre Sándor Varga,O
91958,23,Endre Sándor Varga,O
91959,11,Endre Sándor Varga,O
91960,24,Endre Sándor Varga,O
91961,14,Endre Sándor Varga,O
91962,2,Endre Sándor Varga,O
91963,21,Martin Krasser,O
91964,7,Martin Krasser,O
91965,29,Martin Krasser,O
91966,37,Martin Krasser,O
91967,11,Martin Krasser,O
91968,10,Martin Krasser,O
91969,21,Martin Krasser,O
91970,3,Martin Krasser,O
91971,2,Martin Krasser,O
91972,9,Martin Krasser,O
91973,10,Martin Krasser,O
91974,1,Martin Krasser,O
91975,5,Martin Krasser,O
91976,5,Martin Krasser,O
91977,2,Martin Krasser,O
91978,2,Martin Krasser,O
91979,1,Martin Krasser,O
91980,7,Martin Krasser,O
91981,1,Martin Krasser,O
91997,1,Endre Sándor Varga,O
91998,2,Endre Sándor Varga,O
91999,3,Endre Sándor Varga,O
92000,7,Endre Sándor Varga,O
92001,22,Endre Sándor Varga,O
92002,22,Endre Sándor Varga,O
92003,40,Endre Sándor Varga,O
92004,14,Endre Sándor Varga,O
92005,5,Endre Sándor Varga,O
92033,1,Irmo Manie,O
92034,36,Irmo Manie,O
92035,29,Irmo Manie,O
92036,10,Irmo Manie,O
92037,10,Irmo Manie,O
92038,3,Irmo Manie,O
92039,9,Irmo Manie,O
92040,11,Irmo Manie,O
92041,2,Irmo Manie,O
92048,68,Jonas Bonér,O
92049,17,Jonas Bonér,O
92050,24,Jonas Bonér,O
92051,67,Jonas Bonér,O
92052,56,Jonas Bonér,O
92053,116,Jonas Bonér,O
92054,54,Jonas Bonér,O
92055,54,Jonas Bonér,O
92056,42,Jonas Bonér,O
92057,22,Jonas Bonér,O
92058,29,Jonas Bonér,O
92059,32,Jonas Bonér,O
92060,19,Jonas Bonér,O
92061,2,Jonas Bonér,O
92062,3,Jonas Bonér,O
92063,48,Jonas Bonér,O
92064,52,Jonas Bonér,O
92065,42,Jonas Bonér,O
92066,25,Jonas Bonér,O
92071,89,Patrik Nordwall,O
92072,45,Patrik Nordwall,O
92073,2,Patrik Nordwall,O
92074,27,Patrik Nordwall,O
92075,9,Patrik Nordwall,O
92076,2,Patrik Nordwall,O
92077,8,Patrik Nordwall,O
92078,10,Patrik Nordwall,O
92081,9,Peter Veentjer,O
92082,47,Peter Veentjer,O
92083,34,Peter Veentjer,O
92089,2,Debasish Ghosh,O
92090,8,Debasish Ghosh,O
92091,4,Debasish Ghosh,O
92092,12,Debasish Ghosh,O
92093,1,Debasish Ghosh,O
92094,8,Debasish Ghosh,O
92095,1,Debasish Ghosh,O
92096,18,Debasish Ghosh,O
92097,2,Debasish Ghosh,O
92098,9,Debasish Ghosh,O
92099,2,Debasish Ghosh,O
92100,6,Debasish Ghosh,O
92101,1,Debasish Ghosh,O
92102,1,Debasish Ghosh,O
92103,6,Debasish Ghosh,O
92104,3,Debasish Ghosh,O
92140,8,jboner,O
92141,24,jboner,O
92142,17,jboner,O
92143,21,jboner,O
92144,3,jboner,O
